basomrade,year,cumulative_immigration_surplus,gender
1140150_centralgaraget,2010,32,both
1140150_centralgaraget,2011,-6,both
1140150_centralgaraget,2012,-42,both
1140150_centralgaraget,2013,-56,both
1140150_centralgaraget,2014,-88,both
1140210_okand,2000,3,both
1140210_okand,2001,2,both
1140210_okand,2002,5,both
1140210_okand,2003,11,both
1140210_okand,2004,6,both
1140210_okand,2005,5,both
1140210_okand,2006,-12,both
1140210_okand,2007,-5,both
1140210_okand,2008,0,both
1140210_okand,2009,0,both
1140212_norra_station_2,2010,-9,both
1140212_norra_station_2,2011,-2,both
1140212_norra_station_2,2012,-2,both
1140212_norra_station_2,2013,-9,both
1140212_norra_station_2,2014,-9,both
1140220_birkagarden,2000,30,both
1140220_birkagarden,2001,41,both
1140220_birkagarden,2002,-1,both
1140220_birkagarden,2003,-22,both
1140220_birkagarden,2004,4,both
1140220_birkagarden,2005,-39,both
1140220_birkagarden,2006,-53,both
1140220_birkagarden,2007,-91,both
1140220_birkagarden,2008,-68,both
1140220_birkagarden,2009,-97,both
1140220_birkagarden,2010,-70,both
1140220_birkagarden,2011,-81,both
1140220_birkagarden,2012,-116,both
1140220_birkagarden,2013,-73,both
1140220_birkagarden,2014,-49,both
1140230_rorstrand,2000,-75,both
1140230_rorstrand,2001,-119,both
1140230_rorstrand,2002,-129,both
1140230_rorstrand,2003,-174,both
1140230_rorstrand,2004,-347,both
1140230_rorstrand,2005,-398,both
1140230_rorstrand,2006,-498,both
1140230_rorstrand,2007,-652,both
1140230_rorstrand,2008,-573,both
1140230_rorstrand,2009,-681,both
1140230_rorstrand,2010,-761,both
1140230_rorstrand,2011,-810,both
1140230_rorstrand,2012,-907,both
1140230_rorstrand,2013,-1029,both
1140230_rorstrand,2014,-1207,both
1140240_rodaberget,2000,26,both
1140240_rodaberget,2001,27,both
1140240_rodaberget,2002,33,both
1140240_rodaberget,2003,20,both
1140240_rodaberget,2004,24,both
1140240_rodaberget,2005,57,both
