basomrade,year,population_20xx_12_31,gender
4210430_ballstaberg,2010,1707,both
4210430_ballstaberg,2011,1828,both
4210430_ballstaberg,2012,1865,both
4210430_ballstaberg,2013,1875,both
4210430_ballstaberg,2014,1917,both
4210440_okand,2000,2555,both
4210440_okand,2001,2593,both
4210440_okand,2002,2554,both
4210440_okand,2003,2577,both
4210440_okand,2004,2605,both
4210440_okand,2005,2611,both
4210440_okand,2006,2606,both
4210440_okand,2007,2606,both
4210440_okand,2008,2631,both
4210440_okand,2009,2614,both
4210510_vallentuna_glesbygd_v,2000,539,both
4210510_vallentuna_glesbygd_v,2001,541,both
4210510_vallentuna_glesbygd_v,2002,544,both
4210510_vallentuna_glesbygd_v,2003,558,both
4210510_vallentuna_glesbygd_v,2004,583,both
4210510_vallentuna_glesbygd_v,2005,569,both
4210510_vallentuna_glesbygd_v,2006,584,both
4210510_vallentuna_glesbygd_v,2007,587,both
4210510_vallentuna_glesbygd_v,2008,592,both
4210510_vallentuna_glesbygd_v,2009,605,both
4210510_vallentuna_glesbygd_v,2010,574,both
4210510_vallentuna_glesbygd_v,2011,608,both
4210510_vallentuna_glesbygd_v,2012,649,both
4210510_vallentuna_glesbygd_v,2013,656,both
4210510_vallentuna_glesbygd_v,2014,683,both
4210530_vallentuna_glesbygd_no,2000,300,both
4210530_vallentuna_glesbygd_no,2001,312,both
4210530_vallentuna_glesbygd_no,2002,324,both
4210530_vallentuna_glesbygd_no,2003,337,both
4210530_vallentuna_glesbygd_no,2004,342,both
4210530_vallentuna_glesbygd_no,2005,340,both
4210530_vallentuna_glesbygd_no,2006,346,both
4210530_vallentuna_glesbygd_no,2007,385,both
4210530_vallentuna_glesbygd_no,2008,386,both
4210530_vallentuna_glesbygd_no,2009,419,both
4210530_vallentuna_glesbygd_no,2010,468,both
4210530_vallentuna_glesbygd_no,2011,506,both
4210530_vallentuna_glesbygd_no,2012,513,both
4210530_vallentuna_glesbygd_no,2013,571,both
